Customs Office;; Location;; Last updated;; Commercial Flow - Canada bound;; Commercial Flow - U.S. bound;; Travellers Flow - Canada bound;; Travellers Flow - U.S. bound;;
St. Stephen;; St. Stephen, NB/Calais, ME;; 2014-03-02 00:55 AST;; Not applicable;; --;; No delay;; --;; 
St.Stephen 3rd Bridge;; St.Stephen, NB/Calais, ME;; 2014-03-02 01:01 AST;; No delay;; --;; No delay;; --;; 
Edmundston;; Edmundston, NB/Madawaska, ME;; 2014-03-02 00:56 AST;; No delay;; --;; No delay;; --;; 
Woodstock Road;; Belleville, NB/Houlton, ME;; 2014-03-02 01:09 AST;; No delay;; --;; No delay;; --;; 
Stanstead;; Stanstead, QC/Derby Line, VT;; 2014-03-02 00:01 EST;; No delay;; --;; No delay;; --;; 
St-Armand/Philipsburg;; St. Armand, QC/Highgate Springs, VT;; 2014-03-02 00:01 EST;; No delay;; --;; No delay;; --;; 
St-Bernard-de-Lacolle;; Lacolle, QC/Champlain, NY;; 2014-03-01 22:12 EST;; No delay;; --;; No delay;; --;; 
Cornwall;; Cornwall, ON/Rooseveltown, NY;; 2014-03-01 23:51 EST;; No delay;; --;; No delay;; --;; 
Prescott;; Prescott, ON/Ogdensburg, NY;; 2014-03-01 23:45 EST;; No delay;; --;; No delay;; --;; 
Thousand Island Bridge;; Lansdowne, ON/Alexandria Bay, NY;; 2014-03-02 00:03 EST;; No delay;; --;; No delay;; --;; 
Sault Ste. Marie;; Sault Ste. Marie, ON/Sault Ste. Marie, MI;; 2014-03-02 00:02 EST;; No delay;; --;; No delay;; --;; 
Fort Frances Bridge;; Fort Frances, ON/International Falls, MN;; 2014-03-01 23:02 CST;; No delay;; --;; No delay;; --;; 
Queenston-Lewiston Bridge;; Queenston, ON/Lewiston, NY;; 2014-03-01 23:55 EST;; No delay;; --;; No delay;; --;; 
Rainbow Bridge;; Niagara Falls, ON/Niagara Falls, NY;; 2014-03-02 00:23 EST;; Not applicable;; --;; No delay;; --;; 
Peace Bridge;; Fort Erie, ON/Buffalo, NY;; 2014-03-01 23:55 EST;; No delay;; --;; No delay;; --;; 
Blue Water Bridge;; Sarnia, ON/Port Huron, MI;; 2014-03-02 00:17 EST;; No delay;; --;; No delay;; --;; 
Detroit and Canada Tunnel;; Windsor, ON/Detroit, MI;; 2014-03-01 23:48 EST;; No delay;; --;; No delay;; --;; 
Ambassador Bridge;; Windsor, ON/Detroit, MI;; 2014-03-01 23:04 EST;; No delay;; --;; No delay;; --;; 
Emerson;; Emerson, MB/Pembina, ND;; 2014-03-01 22:01 CST;; No delay;; --;; No delay;; --;; 
North Portal;; North Portal, SK/Portal, ND;; 2014-03-01 22:04 MST;; No delay;; --;; No delay;; --;; 
Coutts;; Coutts, AB/Sweet Grass, MT;; 2014-03-01 22:04 MST;; No delay;; --;; No delay;; --;; 
Abbotsford-Huntingdon;; Huntingdon, BC/Sumas, WA;; 2014-03-01 20:51 PST;; No delay;; --;; 30 minutes;; --;; 
Aldergrove;; Aldergrove, BC/Lynden, WA;; 2014-03-01 20:53 PST;; Not applicable;; --;; No delay;; --;; 
Pacific Highway;; Surrey, BC/Blaine, WA;; 2014-03-01 21:01 PST;; No delay;; --;; 10 minutes;; --;; 
Douglas (Peace Arch);; Surrey, BC/Blaine, WA;; 2014-03-01 20:59 PST;; Not applicable;; --;; 10 minutes;; --;; 
Boundary Bay;; Delta, BC/Point Roberts, WA;; 2014-03-01 21:01 PST;; No delay;; --;; No delay;; --;; 
